Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
0,0.0,26,1,1,0.0069996218691397065,2,4,2,5,5,2,5,5,5,4,4,3,1.0,5,0.0,0.0,0
1,0.0,22,0,0,-0.5263221606320095,3,5,5,5,3,3,3,3,1,1,3,2,-1.0,3,0.0,1.034547127236166,0
0,0.0,59,1,1,-0.9667436854634077,1,3,1,3,2,3,3,4,4,1,4,3,0.0,4,1.1669622348808144,1.1378765502700516,0
0,0.0,32,1,1,0.12758399766897188,2,3,2,4,4,2,4,4,3,2,4,1,0.0,4,1.1311181754023807,0.7508393127483323,0
1,1.0,35,0,0,0.19303070296624922,2,2,2,1,2,2,5,2,2,2,3,2,-2.0,2,0.0,0.0,0
0,0.0,25,1,1,0.24446074654906116,2,4,2,4,2,2,2,2,1,3,4,5,-2.0,2,0.4150387587326097,0.3957784517043333,0
1,0.0,34,1,1,0.05778092419363431,3,4,3,1,3,3,3,3,4,5,4,4,1.0,3,0.4150387587326097,0.0,0
1,1.0,39,0,1,-0.3076001660760656,3,2,3,2,4,3,4,4,1,1,2,2,-1.0,4,1.1048398804489927,1.1612734455487197,0
0,0.0,45,1,1,0.1303920460233605,2,4,2,2,5,4,4,5,5,2,2,5,1.0,3,0.0,0.0,0
0,0.0,31,0,0,0.5516552524181643,2,4,4,4,2,2,2,2,3,1,4,1,0.0,2,0.0,0.6783430947244935,0
0,0.0,50,0,0,1.040354175599617,1,3,1,1,1,2,4,5,5,5,5,3,1.0,4,0.0,0.0,1
1,0.0,42,0,0,-0.3575018239860753,2,2,2,2,5,5,5,4,4,4,4,5,0.0,3,0.4150387587326097,0.0,1
0,1.0,24,0,1,-0.5114816004557878,0,3,0,3,1,3,1,1,3,4,5,4,0.0,1,0.0,0.0,1
0,0.0,23,1,1,-0.38308301406691103,2,5,2,4,5,2,5,5,5,5,4,3,1.0,5,0.4150387587326097,0.0,0
1,0.0,25,0,0,0.9215359007930962,1,1,1,1,5,5,5,5,3,3,4,5,1.0,5,1.0588620806880495,1.0126513375488204,1
0,0.0,12,1,1,0.5122993701055581,1,5,1,4,1,1,4,1,4,2,4,3,0.0,1,0.9585135045961828,0.9080978024083214,0
